instance,seed,opt.status,opt.obj,opt.nodes,opt.runtime,optimal,var.size,var.binaries,var.integers,var.continuous,constr.size,const.density,constr.empty,constr.free,constr.singleton,constr.aggregation,constr.precedence,constr.variable_bound,constr.set_partitioning,constr.set_packing,constr.set_covering,constr.binpacking,constr.knapsack,constr.integer_knapsack,constr.cardinality,constr.invariant_knapsack,constr.equation_knapsack,constr.mixed_binary,constr.general_linear
22433,0,optimal,21477.000000000004,11.0,0.4586160182952881,21477,429,231,0,198,198,0.0401215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0
air03,0,optimal,340160.0,1.0,0.3407249450683594,340160,10757,10757,0,0,124,0.0682436,0,0,0,2,0,0,122,0,0,0,0,0,0,0,0,0,0
acc-tight2,0,optimal,0.0,1.0,0.9648618698120117,0,1620,1620,0,0,2520,0.00375441,0,0,0,0,1296,0,252,162,0,0,0,0,27,783,0,0,0
23588,0,optimal,8090.0,841.0,1.319793939590454,8089.999999999998,368,231,0,137,137,0.0734092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0
10teams,0,optimal,924.0,170.0,2.7325849533081055,923.9999999999997,2025,1800,0,225,230,0.026087,0,0,0,0,0,0,80,40,0,0,0,0,0,0,0,110,0
app1-1,0,optimal,-3.0,96.0,2.2242090702056885,-3,2480,1225,0,1255,4926,0.00149593,0,0,1,0,1225,0,0,0,25,0,0,0,0,0,0,3675,0
app3,0,optimal,5751714.32890448,149.0,1.0724608898162842,5751714.3289,3080,100,0,2980,766,0.00623368,0,0,0,0,0,80,0,5,0,0,0,0,0,0,0,681,0
30n20b8,0,optimal,302.0,689.0,4.526571035385132,302,18380,18318,62,0,576,0.0103624,0,0,0,0,60,0,30,0,0,0,0,0,0,0,0,0,486
aligninq,0,optimal,2713.0,732.0,5.673203945159912,2712.999999999999,1831,1830,0,1,340,0.0252739,0,0,0,0,0,0,0,0,0,0,12,0,0,263,0,65,0
air04,0,optimal,56137.0,220.0,9.539448976516724,56137,8904,8904,0,0,823,0.00995703,0,0,0,2,0,0,821,0,0,0,0,0,0,0,0,0,0
air05,0,optimal,26374.0,682.0,9.886277914047241,26374,7195,7195,0,0,426,0.0170048,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0
b-ball,0,optimal,-1.5,1.0,0.002605915069580078,-1.50000000000001,100,88,0,12,30,0.0696667,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,11,0
acc-tight4,0,optimal,0.0,151.0,30.033915996551514,0,1620,1620,0,0,3285,0.00320819,0,0,0,0,2025,0,261,162,9,0,0,0,36,783,0,9,0
binkar10_1,0,optimal,6742.200024000002,5954.0,8.550480842590332,6742.1998835,2298,170,0,2128,1026,0.0019069,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,826,0
acc-tight5,0,optimal,0.0,1004.0,78.32918787002563,0,1339,1339,0,0,3052,0.003948,0,0,0,3,1649,41,241,248,10,0,0,0,33,818,0,9,0
biella1,0,optimal,3065084.6900000004,2168.0,424.50589513778687,3065005.78,7328,6110,0,1218,1203,0.00810939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,0
bppc8-02,0,optimal,507.0,1.0,0.05753898620605469,506.9999999999998,232,229,1,2,59,0.3205,0,0,1,1,0,0,17,0,0,0,0,1,0,0,0,33,7
bppc8-09,0,optimal,472.0,518.0,1.3907489776611328,471.9999999999998,431,423,6,2,67,0.313433,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,25,30
buildingenergy,0,optimal,33285.7867616001,1.0,272.839478969574,33283.853236,154978,0,26287,128691,277594,1.83392e-05,0,0,1,2,42444,130038,0,0,0,0,0,0,0,0,0,52555,52554
